Job Title,Skills Required,Job Description,Average Salary (INR per month),Educational Qualifications
Financial Planner,[Financial Planning | Investment Management | Retirement Planning | Financial Consultation],Plans financial strategies manages investments designs retirement plans and offers financial consultation.,75000,Bachelor's in Financial Planning or relevant field
IT Manager,[IT Management | Network Administration | IT Strategy | Project Management],Manages IT operations oversees network administration plans IT strategy and leads IT projects.,80000,Bachelor's in Information Technology or relevant field
Network Administrator,[Network Administration | Network Security | Troubleshooting | System Maintenance],Manages computer networks focuses on network security troubleshoots issues and maintains network systems.,70000,Bachelor's in Network Administration or relevant field
Systems Analyst,[System Analysis | Software Assessment | IT Consultation | System Integration],Analyzes systems assesses software offers IT consultation and integrates system solutions.,75000,Bachelor's in Systems Analysis or relevant field
Database Administrator,[Database Management | Data Security | Database Optimization | Backup Management],Manages databases focuses on data security optimizes databases and ensures backup management.,70000,Bachelor's in Database Administration or relevant field
Web Developer,[Web Development | HTML/CSS | JavaScript | Web Frameworks],Develops websites codes in HTML/CSS and JavaScript uses web frameworks and ensures web functionality and aesthetics.,65000,Bachelor's in Web Development or relevant field
Software Engineer,[Software Development | Programming Languages | Software Testing | Problem-Solving],Develops software applications uses programming languages conducts software testing and solves complex problems.,75000,Bachelor's in Software Engineering or relevant field
UX Designer,[User Experience Design | Interface Design | Usability Testing | User-Centered Design],Designs user experiences focuses on interface design conducts usability testing and follows user-centered design principles.,70000,Bachelor's in UX Design or relevant field
Data Scientist,[Data Analysis | Machine Learning | Statistical Modeling | Data Visualization],Analyzes data applies machine learning techniques creates statistical models and visualizes data for decision-making.,80000,Bachelor's in Data Science or relevant field
Product Manager,[Product Development | Product Strategy | Market Analysis | Team Leadership],Manages product development plans product strategy conducts market analysis and leads product teams.,75000,Bachelor's in Product Management or relevant field
Art Director,[Art Direction | Creative Vision | Team Management | Visual Design],Leads art direction provides creative vision manages teams and focuses on visual design.,70000,Bachelor's in Art Direction or relevant field
Event Planner,[Event Planning | Vendor Coordination | Budget Management | Client Interaction],Plans events coordinates vendors manages budgets and interacts with clients on event planning.,65000,Bachelor's in Event Planning or relevant field
Project Manager,[Project Management | Team Leadership | Resource Allocation | Project Planning],Manages projects leads teams allocates resources and plans project activities.,70000,Bachelor's in Project Management or relevant field
Restaurant Manager,[Restaurant Operations | Staff Management | Customer Service | Menu Planning],Manages restaurant operations supervises staff focuses on customer service and plans menu offerings.,60000,Bachelor's in Restaurant Management or relevant field
Film Director,[Film Direction | Screenplay Development | Film Production | Casting],Directs films develops screenplays manages film production and oversees casting.,75000,Bachelor's in Film Direction or relevant field
Television Producer,[Television Production | Show Development | Scriptwriting | Talent Coordination],Produces television shows develops show concepts writes scripts and coordinates talent.,70000,Bachelor's in Television Production or relevant field
Interior Decorator,[Interior Decoration | Space Enhancement | Material Selection | Aesthetics],Enhances interior spaces selects materials improves aesthetics and transforms living spaces.,70000,Bachelor's in Interior Decoration or relevant field
Fashion Designer,[Fashion Design | Garment Creation | Textile Selection | Runway Shows],Designs fashion creates garments selects textiles and presents fashion on the runway.,70000,Bachelor's in Fashion Design or relevant field
Event Planner,[Event Planning | Vendor Coordination | Budget Management | Client Interaction],Plans events coordinates vendors manages budgets and interacts with clients on event planning.,70000,Bachelor's in Event Planning or relevant field
Project Manager,[Project Management | Team Leadership | Resource Allocation | Project Planning],Manages projects leads teams allocates resources and plans project activities.,70000,Bachelor's in Project Management or relevant field
Restaurant Manager,[Restaurant Operations | Staff Management | Customer Service | Menu Planning],Manages restaurant operations supervises staff focuses on customer service and plans menu offerings.,70000,Bachelor's in Restaurant Management or relevant field
Film Director,[Film Direction | Screenplay Development | Film Production | Casting],Directs films develops screenplays manages film production and oversees casting.,70000,Bachelor's in Film Direction or relevant field
Television Producer,[Television Production | Show Development | Scriptwriting | Talent Coordination],Produces television shows develops show concepts writes scripts and coordinates talent.,70000,Bachelor's in Television Production or relevant field
Interior Decorator,[Interior Decoration | Space Enhancement | Material Selection | Aesthetics],Enhances interior spaces selects materials improves aesthetics and transforms living spaces.,70000,Bachelor's in Interior Decoration or relevant field
Fashion Designer,[Fashion Design | Garment Creation | Textile Selection | Runway Shows],Designs fashion creates garments selects textiles and presents fashion on the runway.,70000,Bachelor's in Fashion Design or relevant field
Audio Engineer,[Audio Production | Sound Editing | Equipment Operation | Recording],Produces audio content edits sound operates audio equipment and records audio material.,70000,Bachelor's in Audio Engineering or relevant field
Video Editor,[Video Editing | Post-Production | Visual Effects | Editing Software],Edits video content handles post-production incorporates visual effects and uses video editing software.,70000,Bachelor's in Video Editing or relevant field
Photographer,[Photography | Photo Editing | Lighting | Composition],Captures photographs conducts photo editing manages lighting and focuses on photographic composition.,70000,Bachelor's in Photography or relevant field
Archivist,[Archival Management | Historical Preservation | Cataloging | Research],Manages archives preserves historical materials catalogues items and conducts research in archival collections.,70000,Bachelor's in Archival Management or relevant field
Curator,[Exhibition Curation | Collection Management | Art History | Museum Studies],Curates exhibitions manages collections possesses art historical knowledge and specializes in museum studies.,70000,Bachelor's in Museum Studies or relevant field
Tour Guide,[Tour Guiding | Local Knowledge | Cultural Insights | Visitor Engagement],Guides tours provides local knowledge shares cultural insights and engages visitors in guided experiences.,70000,Bachelor's in Tourism or relevant field
Event Coordinator,[Event Coordination | Logistics | Vendor Management | Event Planning],Coordinates events manages logistics oversees vendors and assists in event planning.,70000,Bachelor's in Event Coordination or relevant field
Fitness Trainer,[Personal Training | Fitness Programs | Health Coaching | Physical Conditioning],Provides personal training designs fitness programs offers health coaching and focuses on physical conditioning.,70000,Bachelor's in Fitness Training or relevant field
Dietitian,[Dietary Planning | Nutritional Guidance | Dietary Assessments | Health Education],Plans dietary strategies offers nutritional guidance conducts dietary assessments and provides health education.,70000,Bachelor's in Dietetics or relevant field
Chef,[Culinary Arts | Menu Creation | Food Preparation | Kitchen Management],Specializes in culinary arts creates menus prepares food and manages kitchen operations.,70000,Bachelor's in Culinary Arts or relevant field
